1project,repo,function,file,outcome,class,explanation,,NT,T,Exclude Latent
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,cancelEventAndWait,groups/bdl/bdlmt/bdlmt_eventscheduler.cpp:932,NT,Concurrency,while (1) ... cond.wait(d_mutex) pattern may or may not terminate with a concurrent thread,,65,133,9
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,allocate,groups/bdl/bdlma/bdlma_concurrentpoolallocator.cpp:145,NT,Concurrency,while (1) never breaks if k_INITIALIZATING is infinitely returned from testAndSwap(),,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,worker,groups/bdl/bdlmt/bdlmt_multiprioritythreadpool.cpp:76,NT,Concurrency,do { ... } while (e_RESUME != d_threadSuspendState) may not terminate,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,waitWhilePausing,bdlmt_multiqueuethreadpool.cpp:482,NT,Concurrency,while (e_PAUSING == d_runState) wait(lock) may not terminate unless a thread unlocks it,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,workerThread,groups/bdl/bdlmt/bdlmt_threadpool.cpp:290,NT,Concurrency,while (0 == waitNode.d_hasJob) waitNode.wait(mutex); may execute forever,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,yieldToDispatcher,groups/bdl/bdlmt/bdlmt_timereventscheduler.cpp:412,NT,Concurrency,while (it) yield() may not terminate unless broken by another thread,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,bslmt::Barrier::~Barrier,groups/bsl/bslmt/bslmt_barrier.cpp:14,NT,Concurrency,while (1) lock(mutex) may not terminate without another thread,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,wait ,groups/bsl/bslmt/bslmt_barrier.cpp:65,NT,Concurrency,while (cond) wait(mutex) will not terminate unless broken by another thread,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,lockRead,groups/bsl/bslmt/bslmt_readerwriterlock.cpp:42,NT,Concurrency,do { ... readCond.wait() } while (1) wont terminate unless another thread breaks it,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,BloombergLP::bslmt::ReaderWriterLock::lockWrite,groups/bsl/bslmt/bslmt_readerwriterlock.cpp:129,NT,Concurrency,while (...) cond.wait(mutex) wont terminate unless another thread breaks it,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,BloombergLP::bslmt::ReaderWriterLock::tryUpgradeToWriteLock,groups/bsl/bslmt/bslmt_readerwriterlock.cpp:290,NT,Concurrency,while (...) cond.wait(mutex) wont terminate unless another thread breaks it,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,BloombergLP::bslmt::Sluice::wait,bslmt_sluice.cpp:121,NT,Concurrency,for (;;) { if (signaled) break; } wont terminate unless another thread signals,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,BloombergLP::bsls::BslOnce::doEnter,bsls_bslonce.cpp:39,NT,Concurrency,while (state != done) yield() may not terminate until another thread change state,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,BloombergLP::bsls::SpinLock::lockWithoutBackoff,groups/bsl/bsls/bsls_spinlock.h:567,NT,Concurrency,do { if (acquire(state)) break; } while (1) may not terminate until another thread change state,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,BloombergLP::bslstl::StopState::deregister,groups/bsl/bslstl/bslstl_stopstate.cpp:71,NT,Concurrency,while (acquire()) yield() may not terminate until lock is acquired,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,BloombergLP::bslstl::StopState::requestStop,groups/bsl/bslstl/bslstl_stopstate.cpp:112,NT,Concurrency,while (true) { BslLockGuard(mutex); if (finish) break; }  may not terminate until another thread progress,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,BloombergLP::bslmt::ReaderWriterLock::upgradeToWriteLock,groups/bsl/bslmt/bslmt_readerwriterlock.cpp:198,NT,Concurrency,while (...) cond.wait(mutex) wont terminate unless another thread breaks it,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,defaultZoneinfoDataLocation,groups/bal/baltzo/baltzo_defaultzoneinfocache.cpp:119,T,Unknown,for (int ii = 0; ii < u::k_NUM_BALTZO_DATA_LOCATIONS; ++ii) clearly terminates,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,timedWait,groups/bsl/bslmt/bslmt_barrier.cpp:39,T,Missing_Model,timedWait(int s) should be modeled as a terminating API using manual summary,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,BloombergLP::bsls::AssertImpUtil::failBySleep,bsls_assertimputil.cpp:95,T,Missing_Model,Need a model of sleep() to understand it is terminating,,,,
BDE,https://github.com/bloomberg/bde/tree/4d68783f7c9369510c61b51388ee5c353b01c67e,findUniqueInsertLocation,groups/bsl/bslalg/bslalg_rbtreeutil.h:1613,T,Unknown,while (node) if (left) node = node->left(); else node = node->right() should be terminating if RBT is well formed,,,,
bind,https://gitlab.isc.org/isc-projects/bind9/-/blob/d45a3920866e45a6093b0fbca3e232a3cda775ef,isc_rwlock_wrlock,rwlock.c:233,NT,Concurrency,Concurrency: Intended rwlock will block until acquired,,,,
bind,https://gitlab.isc.org/isc-projects/bind9/-/blob/d45a3920866e45a6093b0fbca3e232a3cda775ef,read_indicator_wait_until_empty,rwlock.c:222,NT,Concurrency,while (true) if if_indicator_is_empty(rwl) break; synchronization between threads,,,,
bind,https://gitlab.isc.org/isc-projects/bind9/-/blob/d45a3920866e45a6093b0fbca3e232a3cda775ef,nsu_strsep,bin/nsupdate/nsupdate.c:322,T,Missing_Constraint,Missing reasoning: for (s = string; *s != '\0'; s++) thinks s is not induction variable but *s is?,,,,
bind,https://gitlab.isc.org/isc-projects/bind9/-/blob/d45a3920866e45a6093b0fbca3e232a3cda775ef,isc_log_setdebuglevel,lib/isc/log.c:634,T,Confusing_Macro,"Missing constraint: due to macro: for (channel = ISC_LIST_HEAD(); channel; channel = ISC_LIST_NEXT(channel, link)",,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,physrep_worker,db/phys_rep.c:1366,NT,Concurrency,By Design: infinite goto loop repl_loop for thread,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,cron_lock,db/cron.c:397,NT,Concurrency,Concurrency: awaiting for an event to finish,,,,
comdb2,https://github.com/bloomberg/comdb2/tree/224d287d6d7a047d7a539d8a7ab1e3d428ac2845,reqlog_free_events,db/reqlog.c:1026,NT,Concurrency,Concurrency: while (logged->events) ... (looks by design),,,,
