project,repo,function,file,outcome,reasoning,lines,Julien's classification,Julien's human expert reasoning justification,exist_in_dataset,test_to_exclude,to_extend,,,new_predictions_not_in_dataset,label,exposed
openssl,https://github.com/openssl/openssl.git,async_start_func,crypto/async/async.c,NT,"Fiber coroutine with a bare while(1) loop (line 159) containing no break, return, or goto. The only nominal exit is async_fibre_swapcontext suspending the fiber; on resumption execution returns to the top of the loop. The fiber is designed as an infinite dispatcher and can only be retired by destroying its context externally.",150-175,NT,"Legit intended NT, concurrency code handling thread handler that is not supposed to terminate",TRUE,FALSE,FALSE,,,0.880794702,INTENDED,
openssl,https://github.com/openssl/openssl.git,assist_thread_main,ssl/quic/quic_thread_assist.c,NT,"QUIC assist-thread worker with a for(;;) loop (line 31) that blocks on ossl_crypto_condvar_wait_timeout each iteration. The only exit condition checks qta->teardown, a flag set exclusively by an external caller via ossl_quic_thread_assist_stop_async(). Without that external signal the thread blocks and loops forever.",20-63,NT,"Legit intended NT, concurrency code handling thread handler that is not supposed to terminate",FALSE,FALSE,TRUE,,,,INTENDED,
openssl,https://github.com/openssl/openssl.git,do_server,apps/lib/s_socket.c,NT,"for(;;) accept loop (line 401) that breaks only when naccept reaches 0 or the callback returns negative. When called with naccept == -1 (unlimited server mode, the default for s_server), naccept is never decremented due to an explicit guard, so the break condition is unreachable and the loop runs for the application lifetime.",295-469,NT,Legit intended NT - note: this is a legit intended NT in a library function callable by the user.,FALSE,FALSE,TRUE,,,,INTENDED,EXPOSED
openssl,https://github.com/openssl/openssl.git,bn_x931_derive_pi,crypto/bn/bn_x931p.c,NT,"for(;;) prime search loop (line 31) with no iteration counter. The return value of BN_GENCB_call is explicitly ignored, so even a user-supplied abort callback cannot stop the loop. Termination relies solely on randomly finding a prime, with no upper bound on attempts.",23-45,UNT,"Legitimate - possibly unintended. If function is called with Xpi = an even number, the function will not terminate",FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
openssl,https://github.com/openssl/openssl.git,generate_q_fips186_4,crypto/ffc/ffc_params_generate.c,NT,"for(;;) prime-q search loop (line 329) with no iteration bound. When cb is NULL, BN_GENCB_call(NULL,...) always returns 1, providing no abort path. Termination is purely probabilistic — the loop continues until a valid prime q is randomly sampled.",313-383,UNT,"Legitimate - possibly unintended. If function is called with Xpi = an even number, the function will not terminate",FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
openssl,https://github.com/openssl/openssl.git,generate_q_fips186_2,crypto/ffc/ffc_params_generate.c,NT,"FIPS 186-2 variant of the same unbounded prime-q search (for(;;) at line 400). Identical reasoning: BN_GENCB_call(NULL,...) always returns 1, no iteration counter exists, and termination depends entirely on the probabilistic prime search succeeding.",389-447,UNT,"Legitimate - possibly unintended. If function is called with Xpi = an even number, the function will not terminate",FALSE,FALSE,TRUE,,,,LATENT,EXPOSED
openssl,https://github.com/openssl/openssl.git,ossl_synchronize_rcu,crypto/threads_pthread.c,NT,Two no-timeout blocking patterns in the same function: (1) a do{...}while(count!=0) busy-spin (lines 523-525) waiting for all RCU readers to drain their users counter — if any reader never calls ossl_rcu_read_unlock the spin never exits; (2) a pthread_cond_wait inside while(next_to_retire!=curr_id) (lines 511-512) with no timeout enforcing in-order retirement — blocks forever if an earlier writer stalls.,511-525,NT,Intended non termination (concurrency code),TRUE,FALSE,FALSE,,,,INTENDED,
openssl,https://github.com/openssl/openssl.git,ossl_synchronize_rcu,crypto/threads_win.c,NT,Windows counterpart of the same two-pattern RCU synchronization: (1) do{...}while(count!=0) busy-spin (lines 390-392) draining RCU readers with no timeout; (2) ossl_crypto_condvar_wait inside while(next_to_retire!=curr_id) (lines 386-387) enforcing in-order retirement with no timeout. Both block forever if a reader or earlier writer stalls.,386-392,NT,Variant of intended non termination for another OS,FALSE,FALSE,TRUE,,,,INTENDED,
openssl,https://github.com/openssl/openssl.git,update_qp,crypto/threads_pthread.c,NT,"pthread_cond_wait inside while(lock->group_count - lock->writers_alloced < 2) (line 429-431) with no timeout, waiting for a free RCU quiescent-point slot. If all slots are held by stalled or crashed writer threads that never call retire_qp, this blocks indefinitely.",429-431,NT,Intended non termination (concurrency code),TRUE,FALSE,FALSE,,,,INTENDED,
openssl,https://github.com/openssl/openssl.git,update_qp,crypto/threads_win.c,NT,Windows counterpart: ossl_crypto_condvar_wait inside the same while(group_count - writers_alloced < 2) condition (lines 326-328) with no timeout. Identical deadlock risk — blocks forever if all RCU writer slots are occupied by threads that never retire.,326-328,NT,Variant of intended non termination for another OS,FALSE,FALSE,TRUE,,,,INTENDED,
openssl,https://github.com/openssl/openssl.git,ossl_crypto_thread_native_join,crypto/thread/arch.c,NT,"Two consecutive ossl_crypto_condvar_wait calls with no timeout: (1) while(!CRYPTO_THREAD_GET_STATE(thread, req_state_mask)) at line 56-57 waits for a child thread to reach FINISHED/JOINED; (2) while(CRYPTO_THREAD_GET_STATE(thread, CRYPTO_THREAD_JOIN_AWAIT)) at lines 63-68 waits for a concurrent join to complete. If the child thread itself blocks forever, neither wait ever returns.",56-68,NT,Intended non termination (concurrency code),FALSE,FALSE,TRUE,,,,INTENDED,
openssl,https://github.com/openssl/openssl.git,ossl_crypto_thread_start,crypto/thread/internal.c,NT,"ossl_crypto_condvar_wait inside while(_ossl_get_avail_threads(tdata)==0) (lines 55-56) with no timeout, waiting for a thread pool slot to become free. If the maximum number of threads are all blocked indefinitely in network I/O or other blocking operations, no slot is ever released and this call never returns.",55-56,NT,Intended non termination (concurrency code),FALSE,FALSE,TRUE,,,,INTENDED,
openssl,https://github.com/openssl/openssl.git,sv_body,apps/s_server.c,NT,"Per-connection for(;;) read-write loop. On non-DTLS paths select(width, &readfds, NULL, NULL, timeoutp) is called with timeoutp=NULL (no timeout), blocking indefinitely for client data or stdin. The loop exits only on explicit quit command, SSL shutdown, or error — no idle connection timeout exists.",2857-3100,NT,"Intended infinite loop in a server top level with while (1) select() with a timeout, but the timeout is reset to 1s over and over again",FALSE,FALSE,TRUE,,,,INTENDED,EXPOSED
